presbytery,for,against,item
South Texas,47.0,4.0,Item 8
Southeast Alabama,23.0,15.0,Item 8
Southern Louisiana,21.0,0.0,Item 8
Southern New England,62.0,0.0,Item 8
Southwest Florida,57.0,2.0,Item 8
Suncoast Florida,,,Item 8
Susquehanna Valley,51.0,1.0,Item 8
Tennessee Valley,1.0,0.0,Item 8
Tidewater,43.0,0.0,Item 8
Warrior,1.0,0.0,Item 8
West Hudson,1.0,0.0,Item 8
Westminster,2.0,26.0,Item 8
Wisconsin,27.0,0.0,Item 8
Arizona,31.0,0.0,Item 9
Ascension,34.0,1.0,Item 9
Blue Ridge,1.0,0.0,Item 9
Calvary,93.0,0.0,Item 9
Canada West,1.0,0.0,Item 9
Catawba Valley,38.0,0.0,Item 9
Central Carolina,51.0,0.0,Item 9
Central Florida,61.0,0.0,Item 9
Central Georgia,38.0,0.0,Item 9
Central Indiana,,,Item 9
Chesapeake,61.0,0.0,Item 9
Chicago Metro,43.0,0.0,Item 9
Columbus Metro,,,Item 9
Covenant,74.0,5.0,Item 9
Eastern Canada,,,Item 9
Eastern Carolina,53.0,0.0,Item 9
Eastern Pennsylvania,26.0,0.0,Item 9
Evangel,,,Item 9
Fellowship,38.0,0.0,Item 9
Georgia Foothills,1.0,0.0,Item 9
Grace,43.0,0.0,Item 9
Great Lakes,46.0,1.0,Item 9
Gulf Coast,37.0,0.0,Item 9
Gulfstream,35.0,0.0,Item 9
Heartland,25.0,0.0,Item 9
Heritage,35.0,0.0,Item 9
Highlands,55.0,0.0,Item 9
Hills and Plains,,,Item 9
Houston Metro,50.0,0.0,Item 9
Illiana,16.0,0.0,Item 9
Iowa,,,Item 9
James River,77.0,0.0,Item 9
Korean Capital,,,Item 9
Korean Central,,,Item 9
Korean Eastern,,,Item 9
Korean Northeastern,,,Item 9
Korean Northwest,,,Item 9
Korean Southeastern,,,Item 9
Korean Southern,,,Item 9
Korean Southwest,,,Item 9
Korean Southwest OC,,,Item 9
Lowcountry Presbytery,34.0,0.0,Item 9
Metro Atlanta,1.0,0.0,Item 9
Metropolitan New York,32.0,0.0,Item 9
Mississippi Valley,85.0,0.0,Item 9
Missouri,,,Item 9
Nashville,69.0,0.0,Item 9
New Jersey,21.0,0.0,Item 9
New River,1.0,0.0,Item 9
New York State,28.0,0.0,Item 9
North Florida,27.0,0.0,Item 9
North Texas,,,Item 9
Northern California,34.0,0.0,Item 9
Northern Illinois,29.0,0.0,Item 9
Northern New England,,,Item 9
